run_id,folder,batch_size,dropout,hidden_dim,learning_rate,n_bins,n_layers,patience,pca_variance,weight_decay,accuracy,precision,recall,f1,auroc,avg_precision,best_val_loss,final_train_loss,train_val_gap,epochs_trained,train_time_sec,n_pca_total,n_pca_fp,n_pca_ch,tail_bound,TP,FP,TN,FN
65,run_0065,64,0.3,64,0.0003,5,4,20,0.9,0.0001,0.9087,0.7742,0.8727,0.8205,0.9592,0.8479,131.0451,92.3536,45.9762,55,7.2,85,56,29,32.25,48,14,161,7
66,run_0066,64,0.3,64,0.0003,5,8,20,0.9,0.0001,0.913,0.807,0.8364,0.8214,0.9619,0.8642,120.5621,77.6546,47.013,40,10.1,85,56,29,32.25,46,11,164,9
67,run_0067,64,0.3,64,0.0003,8,4,20,0.9,0.0001,0.9,0.7667,0.8364,0.8,0.9546,0.8522,138.7331,94.8582,48.0744,67,9.4,85,56,29,32.25,46,14,161,9
68,run_0068,64,0.3,64,0.0003,8,8,20,0.9,0.0001,0.8565,0.625,1.0,0.7692,0.9496,0.8438,138.7221,92.9079,55.0961,35,9.4,85,56,29,32.25,55,33,142,0
69,run_0069,64,0.3,64,0.0005,5,4,20,0.9,0.0001,0.8826,0.6892,0.9273,0.7907,0.9526,0.84,129.8873,90.7869,46.1633,37,5.0,85,56,29,32.25,51,23,152,4
70,run_0070,64,0.3,64,0.0005,5,8,20,0.9,0.0001,0.9,0.7222,0.9455,0.8189,0.9621,0.8695,122.1988,69.2167,57.2349,44,11.6,85,56,29,32.25,52,20,155,3
71,run_0071,64,0.3,64,0.0005,8,4,20,0.9,0.0001,0.8957,0.7385,0.8727,0.8,0.9596,0.8816,140.3299,89.1689,61.5074,64,8.4,85,56,29,32.25,48,17,158,7
72,run_0072,64,0.3,64,0.0005,8,8,20,0.9,0.0001,0.9087,0.7656,0.8909,0.8235,0.9619,0.8694,135.1374,79.8752,65.0825,46,12.9,85,56,29,32.25,49,15,160,6
73,run_0073,64,0.4,24,0.0003,5,4,20,0.9,0.0001,0.9043,0.7705,0.8545,0.8103,0.9553,0.8542,121.4668,101.88,19.8985,139,16.7,85,56,29,32.25,47,14,161,8
74,run_0074,64,0.4,24,0.0003,5,8,20,0.9,0.0001,0.887,0.6986,0.9273,0.7969,0.9457,0.8001,113.8096,86.4029,27.5143,83,19.4,85,56,29,32.25,51,22,153,4
